Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
OrderController,POST,/api/v1/orders,Create a new order,@RequestBody CreateOrderRequestDto / @RequestAttribute Long userId,"createOrder(CreateOrderRequestDto requestDto, Long userId)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""buyerId"": 5, ""totalAmount"": 150.00, ""status"": ""PENDING"", ""items"": [{""photoId"": 10, ""price"": 50.00}, {""photoId"": 11, ""price"": 100.00}], ""createdAt"": ""2024-01-20T10:00:00""}"
OrderController,GET,/api/v1/orders/{orderId},Get order details by order ID,@PathVariable Long orderId / @RequestAttribute Long userId,"getOrder(Long orderId, Long userId)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""buyerId"": 5, ""totalAmount"": 150.00, ""status"": ""COMPLETED"", ""paymentStatus"": ""PAID"", ""items"": [], ""createdAt"": ""2024-01-20T10:00:00"", ""completedAt"": ""2024-01-20T10:15:00""}"
OrderController,GET,/api/v1/orders/number/{orderNumber},Get order by order number,@PathVariable String orderNumber / @RequestAttribute Long userId,"getOrderByNumber(String orderNumber, Long userId)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""buyerId"": 5, ""totalAmount"": 150.00, ""status"": ""COMPLETED""}"
OrderController,GET,/api/v1/orders/my-orders,Get current user's orders with pagination,@RequestAttribute Long userId / Pageable,"getMyOrders(Long userId, Pageable pageable)","ResponseEntity<Page<OrderSummaryDto>>","{""content"": [{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""totalAmount"": 150.00, ""status"": ""COMPLETED""}, {""id"": 2, ""orderNumber"": ""ORD-2024-0002"", ""totalAmount"": 75.00, ""status"": ""PENDING""}], ""totalElements"": 15, ""totalPages"": 2}"
OrderController,GET,/api/v1/orders/my-orders/status/{status},Get current user's orders by status,@RequestAttribute Long userId / @PathVariable OrderStatus status / Pageable,"getMyOrdersByStatus(Long userId, OrderStatus status, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""status"": ""COMPLETED""}], ""totalElements"": 8}"
OrderController,GET,/api/v1/orders/my-orders/completed,Get current user's completed orders,@RequestAttribute Long userId / Pageable,"getMyCompletedOrders(Long userId, Pageable pageable)","ResponseEntity<Page<OrderResponseDto>>","{""content"": [{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""status"": ""COMPLETED"", ""completedAt"": ""2024-01-20T10:15:00""}], ""totalElements"": 10}"
OrderController,PUT,/api/v1/orders/{orderId}/status,Update order status (admin only),@PathVariable Long orderId / @RequestBody UpdateOrderStatusRequestDto,"updateOrderStatus(Long orderId, UpdateOrderStatusRequestDto statusDto)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""status"": ""PROCESSING"", ""updatedAt"": ""2024-01-20T10:30:00""}"
OrderController,POST,/api/v1/orders/{orderId}/cancel,Cancel an order,@PathVariable Long orderId / @RequestAttribute Long userId,"cancelOrder(Long orderId, Long userId)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""status"": ""CANCELLED"", ""cancelledAt"": ""2024-01-20T10:30:00""}"
OrderController,POST,/api/v1/orders/{orderId}/payment-success,Process payment success callback for order,@PathVariable Long orderId / @RequestParam String paymentId / @RequestParam String transactionId,"processPaymentSuccess(Long orderId, String paymentId, String transactionId)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""status"": ""COMPLETED"", ""paymentStatus"": ""PAID"", ""paymentId"": ""pi_stripe_123"", ""transactionId"": ""txn_123"", ""completedAt"": ""2024-01-20T10:15:00""}"
OrderController,POST,/api/v1/orders/{orderId}/payment-failure,Process payment failure callback for order,@PathVariable Long orderId / @RequestParam String reason,"processPaymentFailure(Long orderId, String reason)","ResponseEntity<OrderResponseDto>","{""id"": 1, ""orderNumber"": ""ORD-2024-0001"", ""status"": ""PAYMENT_FAILED"", ""paymentStatus"": ""FAILED"", ""failureReason"": ""Card declined""}"
