Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
PaymentController,POST,/api/v1/payments/intent,Create payment intent for an order,@RequestBody CreatePaymentIntentRequestDto / @RequestAttribute Long userId,"createPaymentIntent(CreatePaymentIntentRequestDto requestDto, Long userId)","ResponseEntity<PaymentIntentResponseDto>","{""paymentIntentId"": ""pi_1234567890"", ""clientSecret"": ""pi_1234567890_secret_abc"", ""paymentId"": 1, ""orderId"": 10, ""amount"": 100.00, ""currency"": ""USD"", ""status"": ""PENDING"", ""providerPaymentId"": ""pi_stripe_123""}"
PaymentController,GET,/api/v1/payments/{paymentId},Get payment details by payment ID,@PathVariable Long paymentId / @RequestAttribute Long userId,"getPayment(Long paymentId, Long userId)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""userId"": 5, ""amount"": 100.00, ""currency"": ""USD"", ""status"": ""COMPLETED"", ""paymentProvider"": ""STRIPE"", ""providerPaymentId"": ""pi_stripe_123"", ""createdAt"": ""2024-01-20T10:00:00"", ""completedAt"": ""2024-01-20T10:05:00""}"
PaymentController,GET,/api/v1/payments/provider/{providerPaymentId},Get payment by provider payment ID,@PathVariable String providerPaymentId,"getPaymentByProviderPaymentId(String providerPaymentId)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""amount"": 100.00, ""providerPaymentId"": ""pi_stripe_123"", ""status"": ""COMPLETED""}"
PaymentController,GET,/api/v1/payments/order/{orderId},Get payment by order ID,@PathVariable Long orderId,"getPaymentByOrderId(Long orderId)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""amount"": 100.00, ""status"": ""COMPLETED"", ""paymentProvider"": ""STRIPE""}"
PaymentController,GET,/api/v1/payments/my-payments,Get current user's payments with pagination,@RequestAttribute Long userId / Pageable,"getMyPayments(Long userId, Pageable pageable)","ResponseEntity<Page<PaymentResponseDto>>","{""content"": [{""id"": 1, ""orderId"": 10, ""amount"": 100.00, ""status"": ""COMPLETED""}, {""id"": 2, ""orderId"": 15, ""amount"": 50.00, ""status"": ""PENDING""}], ""totalElements"": 25, ""totalPages"": 3}"
PaymentController,GET,/api/v1/payments/status/{status},Get payments by status (admin only),@PathVariable PaymentStatus status / Pageable,"getPaymentsByStatus(PaymentStatus status, Pageable pageable)","ResponseEntity<Page<PaymentResponseDto>>","{""content"": [{""id"": 1, ""status"": ""COMPLETED"", ""amount"": 100.00}], ""totalElements"": 150}"
PaymentController,GET,/api/v1/payments/date-range,Get payments by date range (admin only),@RequestParam LocalDateTime startDate / @RequestParam LocalDateTime endDate / Pageable,"getPaymentsByDateRange(LocalDateTime startDate, LocalDateTime endDate, Pageable pageable)","ResponseEntity<Page<PaymentResponseDto>>","{""content"": [{""id"": 1, ""amount"": 100.00, ""createdAt"": ""2024-01-15T10:00:00""}], ""totalElements"": 75}"
PaymentController,POST,/api/v1/payments/refund,Process refund for a payment (admin only),@RequestBody RefundRequestDto,"processRefund(RefundRequestDto refundRequest)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""amount"": 100.00, ""status"": ""REFUNDED"", ""refundAmount"": 100.00, ""refundReason"": ""Customer request"", ""refundedAt"": ""2024-01-20T15:00:00""}"
PaymentController,POST,/api/v1/payments/{paymentId}/cancel,Cancel a payment,@PathVariable Long paymentId / @RequestAttribute Long userId,"cancelPayment(Long paymentId, Long userId)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""status"": ""CANCELLED"", ""cancelledAt"": ""2024-01-20T14:00:00""}"
PaymentController,GET,/api/v1/payments/search,Search payments by term (admin only),@RequestParam String searchTerm / Pageable,"searchPayments(String searchTerm, Pageable pageable)","ResponseEntity<Page<PaymentResponseDto>>","{""content"": [{""id"": 1, ""providerPaymentId"": ""pi_stripe_123"", ""amount"": 100.00}], ""totalElements"": 10}"
PaymentController,GET,/api/v1/payments/my-payments/count,Get payment count for current user,@RequestAttribute Long userId,"getMyPaymentCount(Long userId)",ResponseEntity<Long>,"{""count"": 25}"
PaymentCallbackController,POST,/api/v1/payments/callback/success,Handle payment success callback from payment gateway,@RequestBody PaymentSuccessCallbackDto,"handleSuccess(PaymentSuccessCallbackDto callbackDto)","ResponseEntity<PaymentResponseDto>","{""id"": 1, ""orderId"": 10, ""status"": ""COMPLETED"", ""providerPaymentId"": ""pi_stripe_123"", ""completedAt"": ""2024-01-20T10:05:00""}"
