Controller Class Name,Method,EndPoint,Description,Parameters,Function Name,Response Type,Sample Response JSON
PhotoController,POST,/api/v1/photos/upload,Upload photo with file and metadata,@RequestPart MultipartFile file / @RequestPart PhotoCreateDto data,"uploadPhoto(MultipartFile file, PhotoCreateDto photoCreateDto)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Wildlife Photo"", ""imageUrl"": ""https://cloudinary.com/photo.jpg"", ""photographerId"": 1, ""price"": 25.00, ""isActive"": true, ""approvalStatus"": ""PENDING"", ""uploadDate"": ""2024-01-20T10:00:00""}"
PhotoController,POST,/api/v1/photos,Create photo metadata without file upload,@RequestBody PhotoCreateDto,"createPhoto(PhotoCreateDto photoCreateDto)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Wildlife Photo"", ""description"": ""A beautiful wildlife shot"", ""photographerId"": 1, ""price"": 25.00, ""isActive"": true}"
PhotoController,PUT,/api/v1/photos/{id},Update photo details,@PathVariable Long id / @RequestBody PhotoUpdateDto,"updatePhoto(Long id, PhotoUpdateDto photoUpdateDto)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Updated Photo"", ""description"": ""Updated description"", ""price"": 30.00, ""updatedAt"": ""2024-01-20T15:30:00""}"
PhotoController,PATCH,/api/v1/photos/{id}/metadata,Update photo metadata only,@PathVariable Long id / @RequestBody PhotoMetadataUpdateDto,"updateMetadata(Long id, PhotoMetadataUpdateDto metadataUpdateDto)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Wildlife Photo"", ""location"": ""Yala National Park"", ""captureDate"": ""2024-01-15T08:30:00"", ""updatedAt"": ""2024-01-20T16:00:00""}"
PhotoController,PATCH,/api/v1/photos/{id}/pricing,Update photo pricing information,@PathVariable Long id / @RequestBody PhotoPricingUpdateDto,"updatePricing(Long id, PhotoPricingUpdateDto pricingUpdateDto)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""price"": 35.00, ""discountPrice"": 28.00, ""updatedAt"": ""2024-01-20T16:15:00""}"
PhotoController,PATCH,/api/v1/photos/{id}/exif,Update photo EXIF data,@PathVariable Long id / @RequestBody PhotoExifUpdateDto,"updateExifData(Long id, PhotoExifUpdateDto exifUpdateDto)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""cameraModel"": ""Canon EOS R5"", ""lens"": ""RF 100-500mm"", ""iso"": 800, ""aperture"": ""f/5.6"", ""shutterSpeed"": ""1/1000"", ""updatedAt"": ""2024-01-20T16:30:00""}"
PhotoController,GET,/api/v1/photos/{id},Get photo by ID,@PathVariable Long id,"getById(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Wildlife Photo"", ""imageUrl"": ""https://cloudinary.com/photo.jpg"", ""price"": 25.00, ""viewCount"": 150, ""downloadCount"": 25}"
PhotoController,GET,/api/v1/photos/{id}/with-photographer,Get photo by ID with photographer details,@PathVariable Long id,"getByIdWithPhotographer(Long id)","ResponseEntity<PhotoResponseDto>","{""id"": 1, ""title"": ""Wildlife Photo"", ""photographer"": {""id"": 1, ""username"": ""photographer1"", ""name"": ""John Doe""}, ""price"": 25.00}"
PhotoController,GET,/api/v1/photos,Get all photos with pagination,Pageable,"getAll(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Photo 1""}, {""id"": 2, ""title"": ""Photo 2""}], ""totalElements"": 100, ""totalPages"": 10}"
PhotoController,GET,/api/v1/photos/photographer/{photographerId},Get photos by photographer with pagination,@PathVariable Long photographerId / Pageable,"getByPhotographer(Long photographerId, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Wildlife Photo"", ""photographerId"": 1}], ""totalElements"": 45}"
PhotoController,GET,/api/v1/photos/photographer/{photographerId}/approved,Get approved photos by photographer,@PathVariable Long photographerId / Pageable,"getApprovedByPhotographer(Long photographerId, Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Wildlife Photo"", ""approvalStatus"": ""APPROVED""}], ""totalElements"": 40}"
PhotoController,GET,/api/v1/photos/approved-active,Get all approved and active photos,Pageable,"getApprovedAndActive(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Photo 1"", ""isActive"": true, ""approvalStatus"": ""APPROVED""}], ""totalElements"": 500}"
PhotoController,GET,/api/v1/photos/featured,Get featured photos,Pageable,"getFeatured(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Featured Photo"", ""isFeatured"": true}], ""totalElements"": 20}"
PhotoController,GET,/api/v1/photos/pending-approval,Get photos pending approval,Pageable,"getPendingApproval(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Pending Photo"", ""approvalStatus"": ""PENDING""}], ""totalElements"": 15}"
PhotoController,GET,/api/v1/photos/most-viewed,Get most viewed photos,Pageable,"getMostViewed(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Popular Photo"", ""viewCount"": 5000}], ""totalElements"": 50}"
PhotoController,GET,/api/v1/photos/most-downloaded,Get most downloaded photos,Pageable,"getMostDownloaded(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Popular Download"", ""downloadCount"": 500}], ""totalElements"": 50}"
PhotoController,GET,/api/v1/photos/most-liked,Get most liked photos,Pageable,"getMostLiked(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Liked Photo"", ""likeCount"": 1200}], ""totalElements"": 50}"
PhotoController,GET,/api/v1/photos/recent,Get recently uploaded photos,Pageable,"getRecent(Pageable pageable)","Page<PhotoResponseDto>","{""content"": [{""id"": 1, ""title"": ""Recent Photo"", ""uploadDate"": ""2024-01-20T10:00:00""}], ""totalElements"": 100}"
